Latitude,Longitude
50.8428220331676,-113.941155366896
50.8786333539187,-114.236290263374
50.8786333539187,-114.170704730823
50.8786333539187,-114.105119198272
50.8786333539187,-114.039533665722
50.8786333539187,-113.973948133171
50.8786333539187,-113.90836260062
50.9144446746698,-114.203497497098
50.9144446746698,-114.137911964548
50.9144446746698,-114.072326431997
50.9144446746698,-114.006740899446
50.9144446746698,-113.941155366896
50.9144446746698,-113.875569834345
50.9502559954209,-114.170704730823
50.9502559954209,-114.105119198272
50.9502559954209,-114.039533665722
50.9502559954209,-113.973948133171
50.9502559954209,-113.90836260062
50.9860673161719,-114.137911964548
50.9860673161719,-114.072326431997
50.9860673161719,-114.006740899446
50.9860673161719,-113.941155366896
51.021878636923,-114.236290263374
51.021878636923,-114.170704730823
51.021878636923,-114.105119198272
51.021878636923,-114.039533665722
51.021878636923,-113.973948133171
51.021878636923,-113.90836260062
51.0576899576741,-114.203497497098
51.0576899576741,-114.137911964548
51.0576899576741,-114.072326431997
51.0576899576741,-114.006740899446
51.0576899576741,-113.941155366896
51.0935012784252,-114.236290263374
51.0935012784252,-114.170704730823
51.0935012784252,-114.105119198272
51.0935012784252,-114.039533665722
51.0935012784252,-113.973948133171
51.0935012784252,-113.90836260062
51.1293125991763,-114.269083029649
51.1293125991763,-114.203497497098
51.1293125991763,-114.137911964548
51.1293125991763,-114.072326431997
51.1293125991763,-114.006740899446
51.1293125991763,-113.941155366896
51.1651239199274,-114.236290263374
51.1651239199274,-114.170704730823
51.1651239199274,-114.105119198272
51.1651239199274,-114.039533665722
51.1651239199274,-113.973948133171
51.1651239199274,-113.90836260062
51.2009352406785,-114.203497497098
51.2009352406785,-114.137911964548
51.2009352406785,-114.072326431997
51.2009352406785,-114.006740899446
51.2009352406785,-113.941155366896
